Iteracao,Fitness,Num_elementos
0,3367,99
1,2561,93
2,2332,94
4,2241,98
5,1940,99
6,1875,98
8,1634,94
9,1564,92
10,1497,98
11,1468,99
14,1450,95
15,1244,98
17,1200,95
18,1163,99
19,1010,98
21,907,97
24,865,98
25,844,99
26,764,96
27,736,96
28,629,99
29,590,99
32,541,97
33,501,94
36,475,100
37,361,95
38,338,100
41,316,98
47,292,98
49,287,99
51,271,97
52,217,100
53,196,96
56,73,93
61,11,91
64,10,91
67,3,93
68,2,92
72,1,94
124,1,93
146,1,92
162,0,93
395,0,91
448,0,90
534,0,88
613,0,85
1203,0,84
2190,0,82
2874,0,81
3055,0,79
3184,0,78
4248,0,77
4529,0,76
6868,0,74
12189,0,72
12713,0,70
13679,0,69
18726,0,68
44847,0,67
46021,0,66
46803,0,65
47190,0,64
47756,0,63
48226,0,61
95718,0,60
151308,0,59
206426,0,58
226558,0,57
247648,0,56
413414,0,55
434142,0,54
609396,0,53
