Iteracao,Fitness,Num_elementos
0,88,100
1,6,101
4,1,92
58,0,94
98,0,93
291,0,91
581,0,88
633,0,86
763,0,82
791,0,80
837,0,79
918,0,76
1032,0,75
1165,0,73
1303,0,72
1488,0,71
1813,0,69
1995,0,68
2218,0,67
2672,0,65
2733,0,64
3111,0,62
3429,0,60
3446,0,59
4953,0,58
5037,0,57
5375,0,55
5894,0,53
6362,0,51
6454,0,50
6460,0,49
7001,0,48
7007,0,47
7142,0,46
7375,0,45
7413,0,43
7481,0,41
7965,0,40
8172,0,39
8191,0,34
8516,0,32
14944,0,31
20238,0,30
21094,0,29
37615,0,28
37966,0,25
48031,0,24
48809,0,22
55770,0,21
56063,0,19
73298,0,18
78812,0,17
79726,0,15
84917,0,14
145424,0,13
220658,0,12
